earn,age,eth,height,height_cm,y,x,x_centered
50000,2,3,74,187.96,10.8197782844103,187.96,17.6073087818697
60000,3,3,66,167.64,11.0020998412042,167.64,-2.71269121813032
30000,1,3,64,162.56,10.3089526606443,162.56,-7.7926912181303
51000,2,3,63,160.02,10.8395809117065,160.02,-10.3326912181303
9000,1,3,64,162.56,9.10497985631836,162.56,-7.7926912181303
29000,2,3,62,157.48,10.2750511089686,157.48,-12.8726912181303
32000,2,3,73,185.42,10.3734911817819,185.42,15.0673087818697
2000,1,2,72,182.88,7.60090245954208,182.88,12.5273087818697
27000,1,3,72,182.88,10.2035921449865,182.88,12.5273087818697
30000,1,3,68,172.72,10.3089526606443,172.72,2.3673087818697
12000,1,3,68,172.72,9.39266192877014,172.72,2.3673087818697
12000,3,3,65,165.1,9.39266192877014,165.1,-5.25269121813031
22000,2,3,66,167.64,9.99879773234045,167.64,-2.71269121813032
17000,3,3,68,172.72,9.74096862303835,172.72,2.3673087818697
40000,1,3,68,172.72,10.5966347330961,172.72,2.3673087818697
44000,2,3,70,177.8,10.6919449129004,177.8,7.44730878186971
7000,3,1,64,162.56,8.85366542803745,162.56,-7.7926912181303
53000,2,1,73,185.42,10.8780471925343,185.42,15.0673087818697
5000,3,3,62,157.48,8.51719319141624,157.48,-12.8726912181303
14000,1,3,63,160.02,9.5468126085974,160.02,-10.3326912181303
5500,1,3,67,170.18,8.61250337122056,170.18,-0.172691218130296
40000,2,3,66,167.64,10.5966347330961,167.64,-2.71269121813032
34000,2,3,72,182.88,10.4341158035983,182.88,12.5273087818697
10000,2,1,63,160.02,9.21034037197618,160.02,-10.3326912181303
27000,3,3,64,162.56,10.2035921449865,162.56,-7.7926912181303
50000,2,3,72,182.88,10.8197782844103,182.88,12.5273087818697
41000,1,3,77,195.58,10.6213273456864,195.58,25.2273087818697
15000,1,3,64,162.56,9.61580548008435,162.56,-7.7926912181303
25000,1,3,64,162.56,10.1266311038503,162.56,-7.7926912181303
75000,2,3,72,182.88,11.2252433925184,182.88,12.5273087818697
27000,1,3,68,172.72,10.2035921449865,172.72,2.3673087818697
12000,1,3,64,162.56,9.39266192877014,162.56,-7.7926912181303
30000,1,1,67,170.18,10.3089526606443,170.18,-0.172691218130296
21000,3,3,65,165.1,9.95227771670556,165.1,-5.25269121813031
27000,1,3,64,162.56,10.2035921449865,162.56,-7.7926912181303
25000,1,3,65,165.1,10.1266311038503,165.1,-5.25269121813031
